日期,距離,光線
2022-11-09 14:51:33,8.53742541556494,136.2970200293112
2022-11-09 14:52:03,2.9094031079949048,130.43478260869557
2022-11-09 14:52:33,6.707489192800721,39.57010258915483
2022-11-09 15:49:10,51.891249231418556,143.1362970200294
2022-11-09 15:49:40,53.49068636376961,142.15925744992663
2022-11-09 15:50:10,100,127.50366389838797
2022-11-09 15:50:40,50.63598173733709,143.1362970200294
2022-11-09 15:51:10,49.81952066464822,136.2970200293112
2022-11-09 15:52:14,46.47352516177318,129.45774303859304
2022-11-09 15:52:44,42.63840132295161,135.31998045920867
2022-11-09 15:53:14,39.589548839089275,40.54714215925736
2022-11-09 15:53:44,8.872086752877067,138.25109916951627
2022-11-09 15:54:14,17.71781113752411,128.4807034684905
2022-11-09 15:55:35,37.7093593530451,132.38886174890087
2022-11-09 15:57:05,57.308080824746185,139.22813873961903
2022-11-09 15:57:35,43.017360363087505,39.57010258915483
2022-11-09 15:58:05,8.108693676920552,135.31998045920867
2022-11-09 15:58:35,49.26010984160598,135.31998045920867
2022-11-09 16:00:24,38.995606061336154,142.15925744992663
2022-11-09 16:00:54,44.38473657293275,37.61602344894976
2022-11-09 16:01:24,6.821125415995766,142.15925744992663
2022-11-09 16:01:54,100,144.11333659013192
2022-11-09 16:02:24,43.55403021065058,136.2970200293112
2022-11-09 16:03:40,42.65547850491339,133.3659013190034
2022-11-09 16:04:10,38.876752288636226,38.593063019052295
2022-11-09 16:04:40,7.800429033475438,134.34294088910593
2022-11-09 16:11:09,46.894430577135836,132.38886174890087
2022-11-09 16:11:39,42.646244811003044,123.59550561797761
2022-11-09 16:12:09,45.324582453135456,128.4807034684905
2022-11-09 16:12:39,26.417135131155415,129.45774303859304
2022-11-09 16:13:09,47.66058689223564,113.8251099169516
2022-11-09 16:13:39,43.69783898485434,121.64142647777231
2022-11-09 16:14:09,43.3545618229025,118.7103077674645
2022-11-09 16:14:39,47.78700955179352,116.75622862725943
2022-11-09 16:15:09,46.794730706947576,120.66438690766978
2022-11-09 16:15:39,5.808662881967621,110.89399120664379
2022-11-09 16:16:09,37.91643094743449,108.93991206643872
2022-11-09 16:16:39,35.75931645817241,112.84807034684907
2022-11-09 16:17:09,45.34188275759129,113.8251099169516
2022-11-09 16:17:39,38.14430410027671,105.03175378602836
2022-11-09 16:18:09,40.06055305041423,123.59550561797761
2022-11-09 16:18:39,39.660432028734704,123.59550561797761
2022-11-09 16:19:09,40.56466468202734,111.87103077674654
2022-11-09 16:19:39,14.416971483275573,132.38886174890087
2022-11-09 16:21:22,37.09878562661106,139.22813873961903
2022-11-09 16:21:52,38.61800290142219,37.61602344894976
2022-11-09 16:22:22,3.828241474459446,125.54958475818268
2022-11-09 16:23:27,37.75319364806228,129.45774303859304
2022-11-09 16:23:57,37.98903043453902,37.61602344894976
2022-11-09 16:24:27,4.8999506823165575,128.4807034684905
2022-11-09 16:25:15,41.737515456338315,131.41182217879833
2022-11-09 16:25:45,40.40074087772018,38.593063019052295
2022-11-09 16:26:15,5.953243998613289,128.4807034684905
2022-11-09 16:26:45,40.46431262083388,135.31998045920867
2022-11-09 16:27:15,40.887346243250704,130.43478260869557
2022-11-09 16:27:45,100,129.45774303859304
2022-11-09 16:28:15,15.969931218268812,137.27405959941373
